,date,google trend,tweet_volume,tweet_len
0,2020-05-24,0,44,21.15909090909091
1,2020-05-25,1,81,27.37037037037037
2,2020-05-26,1,3308,24.7043530834341
3,2020-05-27,4,20719,23.902601476905257
4,2020-05-28,11,88104,25.39496504131481
5,2020-05-29,19,54770,25.418623333941937
6,2020-05-30,32,61632,27.614210150571132
7,2020-05-31,49,84806,25.121206046741975
8,2020-06-01,56,100220,25.74247655158651
9,2020-06-02,100,107562,23.340445510496274
10,2020-06-03,69,57363,25.377699911092517
11,2020-06-04,56,51305,25.673969398694084
12,2020-06-05,62,47084,26.869552289525103
13,2020-06-06,74,49651,24.188394997079616
14,2020-06-07,60,38399,25.016901481809423
15,2020-06-08,41,31060,26.564294913071475
16,2020-06-09,35,19135,27.0261823882937
17,2020-06-10,31,17590,26.730812961910175
18,2020-06-11,41,14220,26.364275668073137
19,2020-06-12,43,14620,26.00875512995896
20,2020-06-13,36,15508,24.908563322156308
21,2020-06-14,32,13252,24.078931482040446
22,2020-06-15,28,11047,26.246039648773422
23,2020-06-16,27,7654,27.267441860465116
24,2020-06-17,24,8096,26.254323122529645
25,2020-06-18,23,8172,27.04723445912873
26,2020-06-19,23,12915,25.800619434765775
27,2020-06-20,23,7785,25.171868978805396
28,2020-06-21,20,5902,24.408675025415114
29,2020-06-22,18,6252,26.27479206653871
30,2020-06-23,22,6240,26.479166666666668
31,2020-06-24,19,5032,26.142488076311604
32,2020-06-25,19,5133,27.012857977790766
33,2020-06-26,20,4629,26.28451069345431
34,2020-06-27,19,4320,25.61111111111111
35,2020-06-28,20,3862,25.686172967374418
36,2020-06-29,19,3957,26.750063179176145
37,2020-06-30,18,3847,27.030933194697166
38,2020-07-01,19,3651,26.94823336072309
39,2020-07-02,18,3785,26.845178335535007
40,2020-07-03,18,3156,26.99334600760456
41,2020-07-04,21,4348,24.67801287948482
42,2020-07-05,21,3521,24.996591877307583
43,2020-07-06,18,2966,27.272757923128793
44,2020-07-07,19,2784,26.301005747126435
45,2020-07-08,18,3238,26.236874613959234
46,2020-07-09,20,3435,25.060262008733623
47,2020-07-10,17,2570,26.234241245136186
48,2020-07-11,14,2178,25.44398530762167
49,2020-07-12,15,2215,25.13453724604966
50,2020-07-13,15,2657,26.527286413248024
51,2020-07-14,13,2341,27.17300299017514
52,2020-07-15,12,2600,25.981923076923078
53,2020-07-16,12,2419,26.429929723026042
54,2020-07-17,11,2306,27.140069384215092
55,2020-07-18,12,2647,26.63128069512656
56,2020-07-19,15,1789,26.321408608160983
57,2020-07-20,12,2058,26.259475218658892
58,2020-07-21,11,2452,25.21084828711256
59,2020-07-22,12,2359,26.23314963967783
60,2020-07-23,14,2332,26.632075471698112
61,2020-07-24,15,2417,25.10467521721142
62,2020-07-25,18,2798,24.134024303073623
63,2020-07-26,17,2703,24.89308176100629
64,2020-07-27,15,2267,26.2059991177768
65,2020-07-28,12,2067,26.426705370101597
66,2020-07-29,10,2084,26.621401151631478
67,2020-07-30,10,2036,25.69499017681729
68,2020-07-31,11,2505,24.35688622754491
69,2020-08-01,11,2177,23.40560404225999
70,2020-08-02,10,2006,23.940179461615156
71,2020-08-03,10,1836,25.053376906318082
72,2020-08-04,10,1776,26.985923423423422
73,2020-08-05,9,1626,26.423124231242312
74,2020-08-06,8,1427,26.382620882971267
75,2020-08-07,7,1283,27.38269680436477
76,2020-08-08,8,1247,24.518845228548518
77,2020-08-09,7,1433,25.099790648988137
78,2020-08-10,6,1483,26.308159136884694
79,2020-08-11,9,1317,26.355353075170843
80,2020-08-12,9,1058,26.242911153119092
81,2020-08-13,8,1180,25.752542372881354
82,2020-08-14,11,1235,26.319028340080973
83,2020-08-15,10,1059,26.3918791312559
84,2020-08-16,10,1080,26.100925925925925
85,2020-08-17,8,1067,27.039362699156513
86,2020-08-18,11,1312,26.1577743902439
87,2020-08-19,9,1253,26.387869114126097
88,2020-08-20,9,1418,24.39774330042313
89,2020-08-21,9,1019,24.75956820412169
90,2020-08-22,8,1168,25.478595890410958
91,2020-08-23,7,951,25.674027339642482
92,2020-08-24,8,7086,25.58495625176404
93,2020-08-25,9,3830,25.93733681462141
94,2020-08-26,12,7977,24.033220508963268
95,2020-08-27,14,11270,24.699911268855367
96,2020-08-28,16,6619,23.552651457924156
97,2020-08-29,15,3486,25.07200229489386
98,2020-08-30,15,2536,25.82097791798107
99,2020-08-31,12,1966,25.903357070193287
100,2020-09-01,13,1883,25.661178969729157
101,2020-09-02,12,1748,25.449656750572082
102,2020-09-03,11,1832,26.266375545851528
103,2020-09-04,10,1429,25.790062981105667
104,2020-09-05,11,1739,24.64002300172513
105,2020-09-06,11,1534,25.18122555410691
106,2020-09-07,11,1282,25.868954758190327
107,2020-09-08,9,1235,26.1748987854251
108,2020-09-09,9,1265,26.051383399209485
109,2020-09-10,9,1095,26.051141552511414
110,2020-09-11,11,1452,26.037190082644628
111,2020-09-12,9,1141,24.77826468010517
112,2020-09-13,13,1628,24.904176904176904
113,2020-09-14,11,1198,25.86727879799666
114,2020-09-15,10,1094,25.125228519195613
115,2020-09-16,8,882,26.80498866213152
116,2020-09-17,8,955,25.558115183246073
117,2020-09-18,9,842,26.268408551068884
118,2020-09-19,7,787,24.998729351969505
119,2020-09-20,7,717,25.220362622036262
120,2020-09-21,7,873,26.419243986254294
121,2020-09-22,7,851,27.25969447708578
122,2020-09-23,8,3290,25.038601823708206
123,2020-09-24,10,3663,25.0993720993721
124,2020-09-25,7,1429,25.238628411476558
125,2020-09-26,7,1089,24.28374655647383
126,2020-09-27,8,834,25.884892086330936
127,2020-09-28,7,734,26.486376021798364
128,2020-09-29,6,823,26.76913730255164
129,2020-09-30,6,1181,26.06350550381033
130,2020-10-01,5,1021,27.144955925563174
131,2020-10-02,5,744,26.90456989247312
132,2020-10-03,5,663,26.0105580693816
133,2020-10-04,5,679,25.111929307805596
134,2020-10-05,5,880,26.876136363636363
135,2020-10-06,4,861,26.69802555168409
136,2020-10-07,4,952,25.880252100840337
137,2020-10-08,5,964,25.619294605809127
138,2020-10-09,5,921,27.72312703583062
139,2020-10-10,4,750,25.582666666666668
140,2020-10-11,5,681,26.174743024963288
141,2020-10-12,4,734,26.80790190735695
142,2020-10-13,4,725,28.99448275862069
143,2020-10-14,3,840,27.101190476190474
144,2020-10-15,3,629,26.930047694753576
145,2020-10-16,3,674,27.70326409495549
146,2020-10-17,3,633,26.04739336492891
147,2020-10-18,3,614,26.58957654723127
148,2020-10-19,3,709,26.01833568406206
149,2020-10-20,4,908,26.897577092511014
150,2020-10-21,4,1233,26.828061638280616
151,2020-10-22,3,825,26.458181818181817
152,2020-10-23,4,1011,24.68545994065282
153,2020-10-24,4,702,25.686609686609685
154,2020-10-25,4,660,25.331818181818182
155,2020-10-26,3,879,25.66325369738339
156,2020-10-27,3,1196,25.22324414715719
157,2020-10-28,4,1120,25.735714285714284
158,2020-10-29,3,912,26.31140350877193
159,2020-10-30,3,972,25.32201646090535
160,2020-10-31,4,735,25.687074829931973
161,2020-11-01,3,674,25.31454005934718
162,2020-11-02,5,703,26.51209103840683
163,2020-11-03,5,1150,25.585217391304347
164,2020-11-04,3,944,25.030720338983052
165,2020-11-05,3,893,25.231802911534153
166,2020-11-06,3,909,25.685368536853684
167,2020-11-07,3,1517,24.580751483190507
168,2020-11-08,4,905,25.632044198895027
169,2020-11-09,4,489,27.803680981595093
170,2020-11-10,3,487,26.37987679671458
171,2020-11-11,3,461,28.60520607375271
172,2020-11-12,4,486,26.117283950617285
173,2020-11-13,2,505,25.26930693069307
174,2020-11-14,3,509,24.42043222003929
175,2020-11-15,3,686,25.69533527696793
176,2020-11-16,3,431,26.078886310904874
177,2020-11-17,3,454,26.766519823788546
178,2020-11-18,2,393,27.29262086513995
179,2020-11-19,2,411,26.579075425790755
180,2020-11-20,3,1157,25.947277441659462
181,2020-11-21,2,681,25.076358296622615
182,2020-11-22,2,442,25.540723981900452
183,2020-11-23,2,317,26.230283911671926
184,2020-11-24,2,375,26.349333333333334
185,2020-11-25,2,408,25.877450980392158
186,2020-11-26,2,353,25.23512747875354
187,2020-11-27,2,338,25.201183431952664
188,2020-11-28,2,293,26.703071672354948
189,2020-11-29,2,241,25.09128630705394
190,2020-11-30,2,345,26.18550724637681
191,2020-12-01,2,416,25.69951923076923
192,2020-12-02,2,380,27.11315789473684
193,2020-12-03,2,372,27.647849462365592
194,2020-12-04,2,376,28.300531914893618
195,2020-12-05,2,404,26.457920792079207
196,2020-12-06,2,614,27.315960912052116
197,2020-12-07,2,710,26.238028169014086
198,2020-12-08,2,2585,19.361702127659573
199,2020-12-09,2,1757,18.339214570290267
200,2020-12-10,2,567,26.12522045855379
201,2020-12-11,2,1541,25.763140817650875
202,2020-12-12,2,418,24.68421052631579
203,2020-12-13,2,527,26.973434535104364
204,2020-12-14,2,408,27.002450980392158
205,2020-12-15,2,364,26.53021978021978
206,2020-12-16,2,366,26.87431693989071
207,2020-12-17,3,334,28.047904191616766
208,2020-12-18,2,325,27.975384615384616
209,2020-12-19,2,230,26.51304347826087
210,2020-12-20,1,275,24.432727272727274
211,2020-12-21,1,269,27.36802973977695
212,2020-12-22,2,257,26.80933852140078
213,2020-12-23,2,298,25.322147651006713
214,2020-12-24,2,274,25.67153284671533
215,2020-12-25,2,169,25.27810650887574
216,2020-12-26,1,278,25.705035971223023
217,2020-12-27,1,213,27.854460093896712
218,2020-12-28,1,288,27.149305555555557
219,2020-12-29,2,333,27.4984984984985
220,2020-12-30,1,442,27.556561085972852
221,2020-12-31,2,588,26.685374149659864
